tag,x,y
電気,-0.23860373600579859,-0.18811235667280646
自動,-0.23860373600579859,-0.18811235667280646
排気,-0.76275513289751995,0.076808789980280651
ガス,-0.76275513289751995,0.076808789980280651
出る,-0.76275513289751995,0.076808789980280651
環境,-1.3483872141629818,0.34219162032426148
良い,-1.9558722929838077,2.6465066221351377
騒音,-0.53471622876674874,-0.70802989767924951
少ない,-0.65535720429313393,-2.3849941840718545
振動,0.14455854224629919,-0.65261069048942033
周り,-0.94564238179890037,-1.1122961024631921
迷惑,-0.94564238179890037,-1.1122961024631921
掛ける,-0.94564238179890037,-1.1122961024631921
乗る,0.73688351602470514,-0.90036233732699844
ハイブリッド,0.57032769228067615,1.8390468125077186
燃費,0.48053850087501521,1.2700899431079389
補助,-0.080637104600501885,0.35480569866056422
経済,0.49727565541346586,0.67625779022250765
燃料,0.13346520164588033,0.31389823762304708
安い,2.2419823738252522,1.3058120184894053
コンパクト,1.6360699581379188,0.051383360082914678
小回り,1.2992791160086821,-0.61724188625541065
聞く,1.2992791160086821,-0.61724188625541065
値段,1.1377103884421811,0.56317542972359536
