tag,x,y
かっこ,2516.1314414007993,-1935.0630921002248
良い,2516.1314413650366,-1935.0630921522425
ボンネット,2516.019376198858,-1934.9844995774274
出っ張る,2516.0193761979235,-1934.9844995766518
居る,2516.0193761996493,-1934.9844995780704
座席,-7263.3585692190891,1159.6735997743244
数,-1281.8249376509311,2264.8884393200592
多い,-1281.8249376506258,2264.8884393202411
家族,-1281.9615343064183,2264.6743664285141
全員,-1281.9615343066876,2264.6743664279838
収容,-1281.9615343061237,2264.6743664287392
出来る,-1281.9615343061992,2264.6743664286009
荷物,-3827.6953164624342,-12488.0464566598
積む,-449.21785948419625,-3376.138739047542
六,-1281.8407281243706,2265.1467797007203
以上,-1281.8407282500336,2265.1467796599923
乗る,-4579.9211145852387,6144.6788054390145
走行,3324.870512422704,1481.0998593904055
性能,3324.8705124193216,1481.0998593942295
高い,7666.9654865265647,3452.2461266386999
悪路,3324.8418968098167,1480.8925266965784
運転,3324.8418968095443,1480.8925266955041
為る,3324.8418968058249,1480.892526698505
最低,3324.798679809237,1481.2937187423579
地上,3324.7986797201261,1481.2937187609343
スペース,-449.02057313090063,-3376.1719813085974
広い,-449.02056274775504,-3376.1719747966936
後部,-449.2891509936162,-3375.9815048409782
倒す,-449.28916044021605,-3375.981508880996
三,-1281.4912775333846,2264.9188022799704
列,-1281.4912775331161,2264.9188022800136
シート,-1281.4912775330345,2264.9188022798826
車高,-2300.9317926803046,-1398.7661635416123
低い,-2300.9318488618624,-1398.7661697994386
積み下ろし,-2300.9043539133945,-1398.9404051289368
楽,-2300.904353384281,-1398.9404050856376
高齢,-2301.0146018772753,-1398.6025185068368
