word,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
グリップ,グリップが柔らかい,グリップが太い,グリップが細い
柔らかい,グリップが柔らかい
持つ,持ちやすい,持ってて楽しい
疲れる,疲れない
太い,グリップが太い
力,力が入る
入る,力が入る
細い,グリップが細い,芯が細い
持ち運ぶ,持ち運びやすい
軽い,軽い
便利,便利
書く,書きやすい,きれいな字が書ける,小さい字が書ける
嬉しい,うれしい
キャップ,キャップを押す手間が省ける
押す,キャップを押す手間が省ける
手間,キャップを押す手間が省ける
省く,キャップを押す手間が省ける
振る,振ると芯が出る
芯,振ると芯が出る,芯が細い,芯の入れ替えが少ない,芯が回転する,芯が折れにくい
出る,振ると芯が出る
字,きれいな字が書ける,小さい字が書ける
時間,長時間使用できる
使用,長時間使用できる
出来る,長時間使用できる
小さい,小さい字が書ける
勉強,勉強しやすい
為る,勉強しやすい,芯が回転する
入れ替え,芯の入れ替えが少ない
少ない,芯の入れ替えが少ない
回転,芯が回転する
折れる,芯が折れにくい
消す,消しゴムがついてる
ゴム,消しゴムがついてる
付く,消しゴムがついてる
壊れる,壊れない
楽しい,持ってて楽しい
かっこ,かっこいいデザイン,色がかっこいい
良い,かっこいいデザイン,色がかっこいい
デザイン,かっこいいデザイン
珍しい,珍しい色
色,珍しい色,色がかっこいい
経済,経済的
長い,長く使える
使う,長く使える
安い,安い
